2026-02-09 10:30:04 | MEDIUM | Brute Force detected | IP=192.168.1.10
2026-02-09 10:30:10 | MEDIUM | Brute Force detected | IP=192.168.1.10
2026-02-09 10:30:16 | MEDIUM | Brute Force detected | IP=45.33.32.156
2026-02-09 10:30:16 | MEDIUM | Brute Force detected | IP=192.168.1.10
2026-02-09 10:30:22 | HIGH | Brute Force detected | IP=192.168.1.10
2026-02-09 10:30:22 | HIGH | Brute Force detected | IP=192.168.1.10
2026-02-09 10:30:25 | MEDIUM | Brute Force detected | IP=45.33.32.156
2026-02-09 10:30:28 | HIGH | Brute Force detected | IP=192.168.1.10
2026-02-09 10:30:28 | MEDIUM | Brute Force detected | IP=45.33.32.156
2026-02-09 10:30:34 | MEDIUM | Brute Force detected | IP=10.0.0.5
2026-02-09 10:30:34 | HIGH | Brute Force detected | IP=45.33.32.156
2026-02-09 10:30:37 | HIGH | Brute Force detected | IP=192.168.1.10
2026-02-09 10:30:40 | CRITICAL | Brute Force detected | IP=192.168.1.10
2026-02-09 10:30:46 | MEDIUM | Brute Force detected | IP=10.0.0.5
2026-02-09 10:30:49 | MEDIUM | Brute Force detected | IP=10.0.0.5
2026-02-09 10:30:52 | LOW | Brute Force detected | IP=192.168.1.10
2026-02-09 10:30:52 | LOW | Brute Force detected | IP=10.0.0.5
2026-02-09 10:30:52 | LOW | Brute Force detected | IP=10.0.0.5
2026-02-09 10:30:52 | MEDIUM | Brute Force detected | IP=10.0.0.5
2026-02-09 10:30:58 | HIGH | Brute Force detected | IP=45.33.32.156
2026-02-09 10:31:01 | HIGH | Brute Force detected | IP=10.0.0.5
2026-02-09 10:31:02 | LOW | Brute Force detected | IP=45.33.32.156
2026-02-09 10:31:02 | MEDIUM | Brute Force detected | IP=10.0.0.5
2026-02-09 10:31:02 | LOW | Brute Force detected | IP=192.168.1.10
2026-02-09 10:31:07 | HIGH | Brute Force detected | IP=10.0.0.5
2026-02-09 10:31:07 | LOW | Brute Force detected | IP=45.33.32.156
2026-02-09 10:31:07 | MEDIUM | Brute Force detected | IP=10.0.0.5
2026-02-09 10:31:07 | MEDIUM | Brute Force detected | IP=192.168.1.10
2026-02-09 10:31:07 | MEDIUM | Brute Force detected | IP=192.168.1.10
2026-02-09 10:31:07 | HIGH | Brute Force detected | IP=10.0.0.5
2026-02-09 10:31:10 | HIGH | Brute Force detected | IP=45.33.32.156
2026-02-09 10:31:10 | HIGH | Brute Force detected | IP=45.33.32.156
2026-02-09 10:31:12 | MEDIUM | Brute Force detected | IP=45.33.32.156
2026-02-09 10:31:12 | HIGH | Brute Force detected | IP=10.0.0.5
2026-02-09 10:31:12 | MEDIUM | Brute Force detected | IP=192.168.1.10
2026-02-09 10:31:12 | HIGH | Brute Force detected | IP=192.168.1.10
2026-02-09 10:31:12 | HIGH | Brute Force detected | IP=10.0.0.5
2026-02-09 10:31:12 | MEDIUM | Brute Force detected | IP=45.33.32.156
2026-02-09 10:31:12 | MEDIUM | Brute Force detected | IP=45.33.32.156
2026-02-09 10:31:12 | HIGH | Brute Force detected | IP=192.168.1.10
2026-02-09 10:31:16 | CRITICAL | Brute Force detected | IP=45.33.32.156
2026-02-09 10:31:17 | HIGH | Brute Force detected | IP=192.168.1.10
2026-02-09 10:31:17 | HIGH | Brute Force detected | IP=10.0.0.5
2026-02-09 10:31:17 | HIGH | Brute Force detected | IP=45.33.32.156
2026-02-09 10:31:17 | HIGH | Brute Force detected | IP=45.33.32.156
2026-02-09 10:31:17 | HIGH | Brute Force detected | IP=192.168.1.10
2026-02-09 10:31:17 | CRITICAL | Brute Force detected | IP=192.168.1.10
2026-02-09 10:31:17 | HIGH | Brute Force detected | IP=45.33.32.156
2026-02-09 10:31:22 | HIGH | Brute Force detected | IP=10.0.0.5
2026-02-09 10:31:22 | HIGH | Brute Force detected | IP=45.33.32.156
2026-02-09 10:31:22 | CRITICAL | Brute Force detected | IP=45.33.32.156
2026-02-09 10:31:22 | CRITICAL | Brute Force detected | IP=192.168.1.10
2026-02-09 10:31:22 | CRITICAL | Brute Force detected | IP=192.168.1.10
2026-02-09 10:31:22 | CRITICAL | Brute Force detected | IP=45.33.32.156
2026-02-09 10:31:22 | CRITICAL | Brute Force detected | IP=192.168.1.10
2026-02-09 10:31:22 | CRITICAL | Brute Force detected | IP=10.0.0.5
2026-02-09 10:31:22 | CRITICAL | Brute Force detected | IP=192.168.1.10
2026-02-09 10:31:27 | CRITICAL | Brute Force detected | IP=192.168.1.10
2026-02-09 10:31:27 | CRITICAL | Brute Force detected | IP=45.33.32.156
2026-02-09 10:31:27 | CRITICAL | Brute Force detected | IP=192.168.1.10
2026-02-09 10:31:27 | CRITICAL | Brute Force detected | IP=10.0.0.5
2026-02-09 10:31:27 | CRITICAL | Brute Force detected | IP=192.168.1.10
2026-02-09 10:31:27 | CRITICAL | Brute Force detected | IP=192.168.1.10
2026-02-09 10:31:31 | HIGH | Brute Force detected | IP=10.0.0.5
2026-02-09 10:31:32 | CRITICAL | Brute Force detected | IP=192.168.1.10
2026-02-09 10:31:32 | CRITICAL | Brute Force detected | IP=10.0.0.5
2026-02-09 10:31:32 | CRITICAL | Brute Force detected | IP=192.168.1.10
2026-02-09 10:31:32 | CRITICAL | Brute Force detected | IP=192.168.1.10
2026-02-09 10:31:32 | CRITICAL | Brute Force detected | IP=10.0.0.5
2026-02-09 10:31:37 | CRITICAL | Brute Force detected | IP=10.0.0.5
2026-02-09 10:31:38 | CRITICAL | Brute Force detected | IP=192.168.1.10
2026-02-09 10:31:38 | CRITICAL | Brute Force detected | IP=10.0.0.5
2026-02-09 10:31:38 | CRITICAL | Brute Force detected | IP=45.33.32.156
2026-02-09 10:31:38 | CRITICAL | Brute Force detected | IP=10.0.0.5
2026-02-09 10:31:43 | CRITICAL | Brute Force detected | IP=10.0.0.5
2026-02-09 10:31:43 | CRITICAL | Brute Force detected | IP=45.33.32.156
2026-02-09 10:31:43 | CRITICAL | Brute Force detected | IP=10.0.0.5
2026-02-09 10:31:43 | CRITICAL | Brute Force detected | IP=10.0.0.5
